web-scraper-order,web-scraper-start-url,authors,authors-href,author_name,article_link,number_posts,bio
"1635889272-1193","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/ferran-suay/","https://quillette.com/author/ferran-suay/","Ferran Suay","","1 Post","Ferran Suay is a Professor in the Department of Psychobiology at the University of València."
"1635892331-1562","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/robin-ashenden/","https://quillette.com/author/robin-ashenden/","Robin Ashenden","","5 Posts","null"
"1635889091-1166","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/craig-smith/","https://quillette.com/author/craig-smith/","Craig Smith","","1 Post","null"
"1635888859-1133","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/chris-ferguson/","https://quillette.com/author/chris-ferguson/","Christopher J. Ferguson","","10 Posts","null"
"1635894696-1797","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/evan-balkcom/","https://quillette.com/author/evan-balkcom/","Evan Balkcom","","","Evan Balkcom is originally from the US and currently a PhD candidate in psychology and science communication at the University of Otago in Dunedin, New Zealand."
"1635891097-1422","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/mikael-jalving/","https://quillette.com/author/mikael-jalving/","Mikael Jalving","","1 Post","null"
"1635890197-1316","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/matthew-wardour/","https://quillette.com/author/matthew-wardour/","Matthew Wardour","","1 Post","null"
"1635892587-1587","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/sam-ashworth-hayes/","https://quillette.com/author/sam-ashworth-hayes/","Sam Ashworth-Hayes","","4 Posts","null"
"1635888110-1057","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/niranjan/","https://quillette.com/author/niranjan/","Niranjan Shankar","","","Niranjan Shankar graduated from Princeton with a degree in Computer Science, and currently works as a software engineer. His other interests include foreign policy, history, and health and fitness."
"1635899166-2027","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/christian-watson/","https://quillette.com/author/christian-watson/","Kenny Xu and Christian Watson","","1 Post","Kenny Xu is president of Color Us United. 

Christian Watson is a spokesman for Color Us United, and the host of Pensive Politics with Christian Watson."
"1635887372-1037","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/amy-eileen-hamm/","https://quillette.com/author/amy-eileen-hamm/","Amy Eileen Hamm","","3 Posts","null"
"1635889987-1293","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/marie-favereau/","https://quillette.com/author/marie-favereau/","Marie Favereau","","1 Post","null"
"1635893166-1645","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/stephen-messenger/","https://quillette.com/author/stephen-messenger/","Stephen Messenger","","1 Post","null"
"1635898805-1978","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/jonathan-haber/","https://quillette.com/author/jonathan-haber/","Jonathan Haber","","","Jonathan Haber is an educational researcher and consultant specializing in assessment, online learning and critical-thinking education."
"1635893771-1691","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/timo-ehrig-and-nicolai-j-foss/","https://quillette.com/author/timo-ehrig-and-nicolai-j-foss/","Timo Ehrig and Nicolai J. Foss","","1 Post","null"
"1635892877-1615","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/scotty-jenkins/","https://quillette.com/author/scotty-jenkins/","Scotty Jenkins","","1 Post","null"
"1635891809-1506","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/philip-backman/","https://quillette.com/author/philip-backman/","Philip Backman","","1 Post","null"
"1635889726-1256","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/bella-d-abrera/","https://quillette.com/author/bella-d-abrera/","Bella d'Abrera","","1 Post","Dr Bella d’Abrera is the Director, Foundations of Western Civilisation Program at the Institute of Public Affairs."
"1635897016-1882","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/irshad-manji/","https://quillette.com/author/irshad-manji/","Irshad Manji","","","null"
